session_id;seconds;magx;magy;magz
46008;55987;"\x00760053002c0002ffd8";"\x00de00ed00f300ed00e1";"\xff9eff9dff8bff6aff4e"
46008;55988;"\xffbaffb8ffc3ffc5ffbd";"\x00e200f100fe00f200e2";"\xff49ff58ff60ff4aff37"
46008;55989;"\xffbdffc9ffdeffe9ffe4";"\x00e400f50107010200ef";"\xff39ff4eff62ff5cff4d"
46008;55990;"\xffddffe1ffecffefffe5";"\x00e900f4010400fd00ec";"\xff51ff6aff81ff7cff69"
46008;55991;"\xffdaffd9ffdfffe2ffdc";"\x00ea00f50108010700fd";"\xff67ff7cff8fff84ff6f"
46008;55992;"\xffd5ffd7ffe1ffe8ffe4";"\x00fe010b011b011b010f";"\xff6fff83ff98ff90ff77"
46008;55993;"\xffddffe2fff1fffafff7";"\x010c0116012501230117";"\xff6eff81ff98ff8eff75"
46008;55994;"\xfff1ffedfff3fff7ffee";"\x0111011801260128011b";"\xff68ff7aff91ff92ff7b"
46008;55995;"\xffdfffd8ffddffe4ffe6";"\x0111011601250129011f";"\xff69ff78ff90ff96ff7d"
46008;55996;"\xffe1ffdfffe8fff2fff3";"\x011401170125012e0126";"\xff67ff70ff88ff96ff82"
46008;55997;"\xffebffe4ffe5ffeaffeb";"\x011801190124012f012a";"\xff6aff6fff87ff9dff90"
46008;55998;"\xffe2ffdaffd8ffdfffe5";"\x011d011901230131012f";"\xff77ff6eff83ff9bff93"
46008;55999;"\xffe5ffe3ffe7fff2fffe";"\x01210118011d012b012e";"\xff77ff66ff79ff94ff99"
46008;56000;"\x0000fffdfff9fffbffff";"\x01230117011b01280131";"\xff83ff6cff77ff92ffa2"
46008;56001;"\xfffcfff0ffe5ffe3ffe9";"\x012b011d01190123012f";"\xff8eff74ff6eff87ff9d"
46008;56002;"\xffedffeaffe3ffe4fff1";"\x012d01200118011f012d";"\xff94ff79ff6aff7bff96"
46008;56003;"\x0000000300010001000a";"\x01320128011c011f012c";"\xff9eff86ff6fff78ff95"
46008;56004;"\x00180021001e0018001a";"\x0134012f0121011e0128";"\xffa8ff97ff7cff74ff8f"
46008;56005;"\x0023002d002d00290028";"\x013401320125011e0124";"\xffacffa5ff88ff77ff8d"
46008;56006;"\x002f003a0040003f0040";"\x01300134012a01210124";"\xffb3ffbeffa3ff8aff99"
46008;56007;"\x00460051005800580058";"\x012e0133012b01210122";"\xffc2ffd8ffc0ff9dffa4"
46008;56008;"\x005a0060006700680065";"\x0129012f012901210122";"\xffcfffefffdcffb8ffb7"
46008;56009;"\x00620066006c00700071";"\x0126012d012a01240123";"\xffe0000b0003ffddffcb"
46008;56010;"\x00710075007d00840089";"\x0126012b012801240125";"\xffeb00140011ffecffd6"
46008;56011;"\x0089008a009000930093";"\x01240126012601230124";"\xfff0001900220002ffe9"
46008;56012;"\x0090008e009100920094";"\x01250127012601240126";"\xfffa001d00200000ffe5"
46008;56013;"\x0090008e009100920091";"\x012401230122011d011d";"\xfff7001d00270008ffed"
46008;56014;"\x008b0086008500870086";"\x011b011c011c01180118";"\xfffc001e00290005ffe1"
46008;56015;"\x0082007f007f00820080";"\x0119011c011d01190117";"\xffe9000c00200000ffd8"
46008;56016;"\x007a00730071006b0065";"\x011a011f0123011d011c";"\xffd8fff60003ffe4ffc2"
46008;56017;"\x005f005a005c005c005a";"\x011e01230126011b011a";"\xffc0ffdeffe9ffceffb4"
46008;56018;"\x0056005500580055004f";"\x011c01240123011a011b";"\xffb9ffd4ffd2ffb0ff9d"
46008;56019;"\x004a004a004c00480043";"\x0120012a0128011b011a";"\xffa9ffc2ffbbff99ff87"
46008;56020;"\x003f003f00410039002d";"\x0122012d0128011d011c";"\xff9affb4ffa5ff86ff79"
46008;56021;"\x0027002a0030002c002b";"\x01240131012e01230121";"\xff8effaaffa2ff84ff79"
46008;56022;"\x002f003a0049004f004e";"\x01280133012f01230121";"\xff91ffafffa9ff8dff81"
46008;56023;"\x004e0054005a0054004c";"\x01270130012c0120011e";"\xff96ffb3ffacff8eff80"
46008;56024;"\x00470048004c004a0045";"\x0124012f012c0121011f";"\xff95ffb2ffb0ff95ff87"
46008;56025;"\x0046004f005800580056";"\x0124012f012c0120011c";"\xff9bffb9ffb5ff99ff8b"
46008;56026;"\x00550058005d0057004b";"\x011e0125011f01100108";"\xff9effbbffbbffa1ff91"
46008;56027;"\x0043004300460043003e";"\x010b0115011201080106";"\xff9effb6ffb1ff94ff7f"
46008;56028;"\x003d0044004f00550054";"\x010e011c012101180116";"\xff8affa5ffa6ff90ff84"
46008;56029;"\x00540057005d005d0056";"\x011c01280129011d011a";"\xff95ffb4ffbbffa3ff92"
46008;56030;"\x005000500052004f0049";"\x011c0125012201150112";"\xffa1ffbdffbdffa4ff93"
46008;56031;"\x0043004200460045003e";"\x01160121012101180117";"\xffa0ffb9ffb8ff9bff88"
46008;56032;"\x003b003e004500470046";"\x011e012b012c0122011e";"\xff94ffaeffabff8fff7e"
46008;56033;"\x0046004c005500570054";"\x01230130013101270122";"\xff8dffabffaeff95ff82"
46008;56034;"\x00520054005a005b0056";"\x012701330135012b0126";"\xff93ffb2ffbaffa1ff8e"
46008;56035;"\x005400550059005c0059";"\x012a01360138012e0129";"\xff9affbaffc3ffa9ff93"
46008;56036;"\x00570057005c005d005a";"\x012c01360138012d0127";"\xff9dffb9ffc2ffaaff92"
46008;56037;"\x00560056005a005a0055";"\x012a01340136012a0123";"\xff98ffb2ffb9ff9eff84"
46008;56038;"\x00520052005600570052";"\x0125012e01300124011b";"\xff8affa7ffb0ff99ff81"
46008;56039;"\x004f004f005400550050";"\x011d0128012c01200117";"\xff87ffa2ffaeff96ff7d"
46008;56040;"\x004d004f005600570051";"\x0118012201240117010c";"\xff84ffa0ffaeff99ff84"
46008;56041;"\x004b0049004c00490044";"\x0109010d010a00f900e9";"\xff8dffa9ffb8ffa6ff8f"
46008;56042;"\x0041004600500059005c";"\x00e800f000f400ea00e4";"\xff90ffa7ffb3ff9cff81"
46008;56043;"\x0060006a0076007f0080";"\x00eb00fa0107010200fd";"\xff81ff9affaeffa0ff8c"
46008;56044;"\x0084008b009900a400a6";"\x0102010f011b0115010b";"\xff8effacffc4ffb3ff90"
46008;56045;"\x00ab009800690030fff3";"\x010000e800be00a8008d";"\xff76ff60ff66ff65ff59"
46008;56046;"\xffbbff89ff64ff34ff1f";"\x00740063005a004d0042";"\xff46ff41ff3fff3dff45"
46008;56047;"\xff2aff41ff57ff67ff71";"\x004100250010fffcffe6";"\xff34ff17fefafeeafedf"
